quantity,pop,year,median,sd
logR,White-Donjek,1992,9.536810933,0.238798246
logR,White-Donjek,1993,9.663977375,0.309654957
logR,White-Donjek,1994,9.139232363,0.285554004
logR,White-Donjek,1995,8.275235877,0.502614753
logR,White-Donjek,1996,7.617555915,0.580060918
logR,White-Donjek,1997,9.701286764,0.190536617
logR,White-Donjek,1998,9.068676963,0.376459997
logR,White-Donjek,1999,9.399606451,0.236917308
logR,White-Donjek,2000,8.375575943,0.564657135
logR,White-Donjek,2001,10.07765977,0.07352403
logR,White-Donjek,2002,7.452832954,0.306870366
logR,White-Donjek,2003,8.954159823,0.1825143
logR,White-Donjek,2004,8.491716506,0.221299739
logR,White-Donjek,2005,8.803683803,0.218978212
logR,White-Donjek,2006,8.472523719,0.237555253
logR,White-Donjek,2007,7.839156898,0.313524804
logR,White-Donjek,2008,7.665752521,0.296458869
logR,White-Donjek,2009,8.919772826,0.137242629
logR,White-Donjek,2010,8.099778447,0.203663971
logR,White-Donjek,2011,9.781446987,0.137813436
logR,White-Donjek,2012,9.558116397,0.155136944
logR,White-Donjek,2013,9.161277959,0.291579833
logR,White-Donjek,2014,9.202431607,0.424777851
logR,White-Donjek,2015,8.832533732,0.843332372
S,White-Donjek,1985,2900.663706,717.6527517
S,White-Donjek,1986,4135.637629,850.322335
S,White-Donjek,1987,3117.894178,632.8736043
S,White-Donjek,1988,3989.654607,770.9293103
S,White-Donjek,1989,6714.35762,1831.89777
S,White-Donjek,1990,5428.631926,1610.471238
S,White-Donjek,1991,4778.198582,1209.829909
S,White-Donjek,1992,4356.46023,910.8485459
S,White-Donjek,1993,6020.793595,916.5290668
S,White-Donjek,1994,5442.031487,964.9251625
S,White-Donjek,1995,8105.241815,2797.146927
S,White-Donjek,1996,7980.075782,1148.807761
S,White-Donjek,1997,4688.304125,790.6368974
S,White-Donjek,1998,5483.811189,672.0674267
S,White-Donjek,1999,4481.386744,947.1204599
S,White-Donjek,2000,4176.908089,691.741387
S,White-Donjek,2001,4340.574429,888.0375895
S,White-Donjek,2002,3096.01537,527.0830621
S,White-Donjek,2003,7486.686733,1003.589087
S,White-Donjek,2004,4639.861656,956.7107865
S,White-Donjek,2005,6586.396094,1042.863091
S,White-Donjek,2006,6900.704504,1041.212885
S,White-Donjek,2007,5795.039104,185.0581708
S,White-Donjek,2008,2691.491288,384.4951794
S,White-Donjek,2009,5014.486181,767.4490715
S,White-Donjek,2010,2869.127773,376.1680197
S,White-Donjek,2011,3988.261817,662.6766603
S,White-Donjek,2012,2638.954252,505.3380198
S,White-Donjek,2013,1794.648774,433.6996522
S,White-Donjek,2014,5254.320087,691.2157825
S,White-Donjek,2015,7362.968529,674.4200402
