OID_,SUB_DRAINA,ZONE_CODE,COUNT,AREA,Variable,Dimensions,StdTime,StdTime_Max,MEAN
98,Stewart,2,54143.000000000000000,54143.000000000000000,swe,StdTime,1997-01-01 0:00:00,1998-01-01 0:00:00,117.001546291831545
99,Pelly,3,52274.000000000000000,52274.000000000000000,swe,StdTime,1997-01-01 0:00:00,1998-01-01 0:00:00,112.201457890309356
100,White Donjek,4,35813.000000000000000,35813.000000000000000,swe,StdTime,1997-01-01 0:00:00,1998-01-01 0:00:00,144.880082929922594
101,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,swe,StdTime,1997-01-01 0:00:00,1998-01-01 0:00:00,328.917361160061773
102,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,swe,StdTime,1997-01-01 0:00:00,1998-01-01 0:00:00,122.221085029614628
103,Teslin,7,35505.000000000000000,35505.000000000000000,swe,StdTime,1997-01-01 0:00:00,1998-01-01 0:00:00,257.489123282453761
104,Carmacks,8,14510.000000000000000,14510.000000000000000,swe,StdTime,1997-01-01 0:00:00,1998-01-01 0:00:00,96.133078592092019
105,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,swe,StdTime,1998-01-01 0:00:00,1999-01-01 0:00:00,72.827009324244685
106,Stewart,2,54143.000000000000000,54143.000000000000000,swe,StdTime,1998-01-01 0:00:00,1999-01-01 0:00:00,45.500583266810906
107,Pelly,3,52274.000000000000000,52274.000000000000000,swe,StdTime,1998-01-01 0:00:00,1999-01-01 0:00:00,47.974952556383279
108,White Donjek,4,35813.000000000000000,35813.000000000000000,swe,StdTime,1998-01-01 0:00:00,1999-01-01 0:00:00,74.256479762392019
109,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,swe,StdTime,1998-01-01 0:00:00,1999-01-01 0:00:00,170.228986739754532
110,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,swe,StdTime,1998-01-01 0:00:00,1999-01-01 0:00:00,58.507579632968103
111,Teslin,7,35505.000000000000000,35505.000000000000000,swe,StdTime,1998-01-01 0:00:00,1999-01-01 0:00:00,128.506347530059998
112,Carmacks,8,14510.000000000000000,14510.000000000000000,swe,StdTime,1998-01-01 0:00:00,1999-01-01 0:00:00,51.557117161793393
113,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,swe,StdTime,1999-01-01 0:00:00,2000-01-01 0:00:00,140.322219362478279
114,Stewart,2,54143.000000000000000,54143.000000000000000,swe,StdTime,1999-01-01 0:00:00,2000-01-01 0:00:00,165.484029907886622
115,Pelly,3,52274.000000000000000,52274.000000000000000,swe,StdTime,1999-01-01 0:00:00,2000-01-01 0:00:00,127.332268043789142
116,White Donjek,4,35813.000000000000000,35813.000000000000000,swe,StdTime,1999-01-01 0:00:00,2000-01-01 0:00:00,149.386691932186977
117,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,swe,StdTime,1999-01-01 0:00:00,2000-01-01 0:00:00,360.709545067008321
118,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,swe,StdTime,1999-01-01 0:00:00,2000-01-01 0:00:00,185.032755778252437
119,Teslin,7,35505.000000000000000,35505.000000000000000,swe,StdTime,1999-01-01 0:00:00,2000-01-01 0:00:00,255.804880730828984
120,Carmacks,8,14510.000000000000000,14510.000000000000000,swe,StdTime,1999-01-01 0:00:00,2000-01-01 0:00:00,104.102667116445119
121,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,swe,StdTime,2000-01-01 0:00:00,2001-01-01 0:00:00,94.036494238916163
122,Stewart,2,54143.000000000000000,54143.000000000000000,swe,StdTime,2000-01-01 0:00:00,2001-01-01 0:00:00,113.978278826661210
123,Pelly,3,52274.000000000000000,52274.000000000000000,swe,StdTime,2000-01-01 0:00:00,2001-01-01 0:00:00,115.148171186347071
124,White Donjek,4,35813.000000000000000,35813.000000000000000,swe,StdTime,2000-01-01 0:00:00,2001-01-01 0:00:00,126.981608630179181
125,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,swe,StdTime,2000-01-01 0:00:00,2001-01-01 0:00:00,269.352319776069407
126,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,swe,StdTime,2000-01-01 0:00:00,2001-01-01 0:00:00,93.264244984274370
127,Teslin,7,35505.000000000000000,35505.000000000000000,swe,StdTime,2000-01-01 0:00:00,2001-01-01 0:00:00,141.121805322387019
128,Carmacks,8,14510.000000000000000,14510.000000000000000,swe,StdTime,2000-01-01 0:00:00,2001-01-01 0:00:00,90.371654088278561
129,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,swe,StdTime,2001-01-01 0:00:00,2002-01-01 0:00:00,122.518378203503971
130,Stewart,2,54143.000000000000000,54143.000000000000000,swe,StdTime,2001-01-01 0:00:00,2002-01-01 0:00:00,118.801003282565006
