agency_cd,site_no,parameter_cd,ts_id,year_nu,month_nu,mean_va
USGS,15565447,60,1155,2019,2,65310
USGS,15565447,60,1155,2019,3,61580
USGS,15565447,60,1155,2019,4,79200
USGS,15565447,60,1155,2019,5,343000
USGS,15565447,60,1155,2019,6,568400
USGS,15565447,60,1155,2019,7,325000
USGS,15565447,60,1155,2019,8,370700
USGS,15565447,60,1155,2019,9,336200
USGS,15565447,60,1155,2019,10,275300
USGS,15565447,60,1155,2019,11,197200
USGS,15565447,60,1155,2019,12,118900
USGS,15565447,60,1155,2020,1,81300
USGS,15565447,60,1155,2020,2,62520
USGS,15565447,60,1155,2020,3,54710
USGS,15565447,60,1155,2020,4,65490
USGS,15565447,60,1155,2020,5,518600
USGS,15565447,60,1155,2020,6,630300
USGS,15565447,60,1155,2020,7,573200
USGS,15565447,60,1155,2020,8,469500
USGS,15565447,60,1155,2020,9,434400
USGS,15565447,60,1155,2020,10,312900
USGS,15565447,60,1155,2020,11,167200
USGS,15565447,60,1155,2020,12,134900
USGS,15565447,60,1155,2021,1,104100
USGS,15565447,60,1155,2021,2,71960
USGS,15565447,60,1155,2021,3,52610
USGS,15565447,60,1155,2021,4,54780
USGS,15565447,60,1155,2021,5,401300
USGS,15565447,60,1155,2021,6,539800
USGS,15565447,60,1155,2021,7,452900
USGS,15565447,60,1155,2021,8,401400
