OID_,Site,Distance,FID_Yukon_spawning_sites,Site_1,Latitude,Longitude,FID_YRC_CU,OBJECTID_1,WATERSHED_,SUB_SUB_DR,MAJOR_DRAI,MAJOR_DR_1,SUB_DRAINA,SUB_DRAI_1,SUB_SUB__1,SUB_SUB__2,GEOMETRY_A,GEOMETRY_L,Shape_Leng
0,PleasantCr,2615,15,PleasantCr,63.51904,-133.91105,1,2,41,09DB,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Stewart,Stewart,Beaver (Y.T.),Beaver (Yn),14017803995,824898.4859,824898.4859
0,PrevostR,3018,59,PrevostR,62.60323,-131.17081,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744231,1069626.276,1069626.276
0,RacklaR,2755,16,RacklaR,64.1158,-134.38412,1,2,41,09DB,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Stewart,Stewart,Beaver (Y.T.),Beaver (Yn),14017803995,824898.4859,824898.4859
0,RedR,3078,86,RedR,60.73591,-132.11357,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294703,939903.4461,939903.4461
0,RiddellR,2843,60,RiddellR,62.84403,-132.42122,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744231,1069626.276,1069626.276
0,RoseR,3142,87,RoseR,61.18147,-132.98201,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294703,939903.4461,939903.4461
0,RossR,2848,61,RossR,61.98582,-132.41851,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744231,1069626.276,1069626.276
0,RusselCr,2768,62,RusselCr,63.03624,-133.39035,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744231,1069626.276,1069626.276
0,SBigSalmonR,2710,36,SBigSalmonR,61.60735,-134.43774,7,0,0, , , ,Carmacks, , , ,0,0,0
0,ScurvyCr,2798,37,ScurvyCr,61.21519,-133.24122,7,0,0, , , ,Carmacks, , , ,0,0,0
