OID_,VALUE,ZONE_CODE,COUNT,AREA,Variable,Dimensions,StdTime,MEAN
1459,Pelly,3,52273.000000000000000,52273.000000000000000,tmin,StdTime,2005-07-02 12:00:00,8.929110053918626
1460,White Donjek,4,35813.000000000000000,35813.000000000000000,tmin,StdTime,2005-07-02 12:00:00,6.948085610184379
1461,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,tmin,StdTime,2005-07-02 12:00:00,7.021989009645516
1462,Lower Mainstem,6,65074.000000000000000,65074.000000000000000,tmin,StdTime,2005-07-02 12:00:00,8.577379905793125
1463,Teslin,7,35505.000000000000000,35505.000000000000000,tmin,StdTime,2005-07-02 12:00:00,8.609427685194323
1464,Carmacks,8,14510.000000000000000,14510.000000000000000,tmin,StdTime,2005-07-02 12:00:00,9.781172296345236
1465,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,tmin,StdTime,2005-07-03 12:00:00,8.023160552273575
1466,Stewart,2,54143.000000000000000,54143.000000000000000,tmin,StdTime,2005-07-03 12:00:00,8.129800160742805
1467,Pelly,3,52273.000000000000000,52273.000000000000000,tmin,StdTime,2005-07-03 12:00:00,7.376647983239366
1468,White Donjek,4,35813.000000000000000,35813.000000000000000,tmin,StdTime,2005-07-03 12:00:00,6.277820066781743
1469,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,tmin,StdTime,2005-07-03 12:00:00,3.380747831624836
1470,Lower Mainstem,6,65074.000000000000000,65074.000000000000000,tmin,StdTime,2005-07-03 12:00:00,9.202224238434301
1471,Teslin,7,35505.000000000000000,35505.000000000000000,tmin,StdTime,2005-07-03 12:00:00,3.141818899114027
1472,Carmacks,8,14510.000000000000000,14510.000000000000000,tmin,StdTime,2005-07-03 12:00:00,8.137181938071791
1473,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,tmin,StdTime,2005-07-04 12:00:00,6.748557318723637
1474,Stewart,2,54143.000000000000000,54143.000000000000000,tmin,StdTime,2005-07-04 12:00:00,5.601254641507694
1475,Pelly,3,52273.000000000000000,52273.000000000000000,tmin,StdTime,2005-07-04 12:00:00,6.075238074867092
1476,White Donjek,4,35813.000000000000000,35813.000000000000000,tmin,StdTime,2005-07-04 12:00:00,5.608997290754745
1477,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,tmin,StdTime,2005-07-04 12:00:00,3.862938864268796
1478,Lower Mainstem,6,65074.000000000000000,65074.000000000000000,tmin,StdTime,2005-07-04 12:00:00,7.375785721204046
1479,Teslin,7,35505.000000000000000,35505.000000000000000,tmin,StdTime,2005-07-04 12:00:00,2.749214196252089
1480,Carmacks,8,14510.000000000000000,14510.000000000000000,tmin,StdTime,2005-07-04 12:00:00,7.692576845730687
1481,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,tmin,StdTime,2005-07-05 12:00:00,4.538455819072237
1482,Stewart,2,54143.000000000000000,54143.000000000000000,tmin,StdTime,2005-07-05 12:00:00,5.447060932520372
1483,Pelly,3,52273.000000000000000,52273.000000000000000,tmin,StdTime,2005-07-05 12:00:00,3.999676125075312
1484,White Donjek,4,35813.000000000000000,35813.000000000000000,tmin,StdTime,2005-07-05 12:00:00,4.775513362414546
1485,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,tmin,StdTime,2005-07-05 12:00:00,2.254547555812266
1486,Lower Mainstem,6,65074.000000000000000,65074.000000000000000,tmin,StdTime,2005-07-05 12:00:00,6.870076220865108
1487,Teslin,7,35505.000000000000000,35505.000000000000000,tmin,StdTime,2005-07-05 12:00:00,0.900170399156842
1488,Carmacks,8,14510.000000000000000,14510.000000000000000,tmin,StdTime,2005-07-05 12:00:00,1.279711235555557
1489,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,tmin,StdTime,2005-07-06 12:00:00,6.549073492437659
1490,Stewart,2,54143.000000000000000,54143.000000000000000,tmin,StdTime,2005-07-06 12:00:00,3.482907487529340
1491,Pelly,3,52273.000000000000000,52273.000000000000000,tmin,StdTime,2005-07-06 12:00:00,5.675122530156015
1492,White Donjek,4,35813.000000000000000,35813.000000000000000,tmin,StdTime,2005-07-06 12:00:00,6.057442272342497
1493,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,tmin,StdTime,2005-07-06 12:00:00,5.238731656113953
1494,Lower Mainstem,6,65074.000000000000000,65074.000000000000000,tmin,StdTime,2005-07-06 12:00:00,4.736837908409647
1495,Teslin,7,35505.000000000000000,35505.000000000000000,tmin,StdTime,2005-07-06 12:00:00,7.029172793282141
1496,Carmacks,8,14510.000000000000000,14510.000000000000000,tmin,StdTime,2005-07-06 12:00:00,7.201547901520320
1497,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,tmin,StdTime,2005-07-07 12:00:00,6.595670321824449
1498,Stewart,2,54143.000000000000000,54143.000000000000000,tmin,StdTime,2005-07-07 12:00:00,4.068182960485446
1499,Pelly,3,52273.000000000000000,52273.000000000000000,tmin,StdTime,2005-07-07 12:00:00,5.783648729243177
1500,White Donjek,4,35813.000000000000000,35813.000000000000000,tmin,StdTime,2005-07-07 12:00:00,5.774865274389771
1501,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,tmin,StdTime,2005-07-07 12:00:00,5.385728781603514
1502,Lower Mainstem,6,65074.000000000000000,65074.000000000000000,tmin,StdTime,2005-07-07 12:00:00,5.518677044172925
1503,Teslin,7,35505.000000000000000,35505.000000000000000,tmin,StdTime,2005-07-07 12:00:00,3.802795099873180
1504,Carmacks,8,14510.000000000000000,14510.000000000000000,tmin,StdTime,2005-07-07 12:00:00,8.346648517959549
1505,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,tmin,StdTime,2005-07-08 12:00:00,6.638501951979689
1506,Stewart,2,54143.000000000000000,54143.000000000000000,tmin,StdTime,2005-07-08 12:00:00,6.046645549846447
1507,Pelly,3,52273.000000000000000,52273.000000000000000,tmin,StdTime,2005-07-08 12:00:00,6.332838174813339
1508,White Donjek,4,35813.000000000000000,35813.000000000000000,tmin,StdTime,2005-07-08 12:00:00,5.581445846964394
1509,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,tmin,StdTime,2005-07-08 12:00:00,2.998257666685576
1510,Lower Mainstem,6,65074.000000000000000,65074.000000000000000,tmin,StdTime,2005-07-08 12:00:00,4.227073335041638
1511,Teslin,7,35505.000000000000000,35505.000000000000000,tmin,StdTime,2005-07-08 12:00:00,1.412137727331909
1512,Carmacks,8,14510.000000000000000,14510.000000000000000,tmin,StdTime,2005-07-08 12:00:00,6.064017230554177
1513,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,tmin,StdTime,2005-07-09 12:00:00,4.480881463547028
1514,Stewart,2,54143.000000000000000,54143.000000000000000,tmin,StdTime,2005-07-09 12:00:00,3.309370926702041
1515,Pelly,3,52273.000000000000000,52273.000000000000000,tmin,StdTime,2005-07-09 12:00:00,5.285088670461008
1516,White Donjek,4,35813.000000000000000,35813.000000000000000,tmin,StdTime,2005-07-09 12:00:00,4.766497643910534
1517,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,tmin,StdTime,2005-07-09 12:00:00,6.027843315600741
1518,Lower Mainstem,6,65074.000000000000000,65074.000000000000000,tmin,StdTime,2005-07-09 12:00:00,5.439074131704984
1519,Teslin,7,35505.000000000000000,35505.000000000000000,tmin,StdTime,2005-07-09 12:00:00,7.707451064860972
1520,Carmacks,8,14510.000000000000000,14510.000000000000000,tmin,StdTime,2005-07-09 12:00:00,6.317790487747533
1521,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,tmin,StdTime,2005-07-10 12:00:00,3.945530286642937
1522,Stewart,2,54143.000000000000000,54143.000000000000000,tmin,StdTime,2005-07-10 12:00:00,5.086506658814808
1523,Pelly,3,52273.000000000000000,52273.000000000000000,tmin,StdTime,2005-07-10 12:00:00,5.627057563093740
1524,White Donjek,4,35813.000000000000000,35813.000000000000000,tmin,StdTime,2005-07-10 12:00:00,4.253784939170680
1525,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,tmin,StdTime,2005-07-10 12:00:00,5.061400424227739
1526,Lower Mainstem,6,65074.000000000000000,65074.000000000000000,tmin,StdTime,2005-07-10 12:00:00,6.762468421768277
1527,Teslin,7,35505.000000000000000,35505.000000000000000,tmin,StdTime,2005-07-10 12:00:00,7.060680467453556
1528,Carmacks,8,14510.000000000000000,14510.000000000000000,tmin,StdTime,2005-07-10 12:00:00,4.920024122890300
1529,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,tmin,StdTime,2005-07-11 12:00:00,5.801956143907045
1530,Stewart,2,54143.000000000000000,54143.000000000000000,tmin,StdTime,2005-07-11 12:00:00,6.818560109589568
1531,Pelly,3,52273.000000000000000,52273.000000000000000,tmin,StdTime,2005-07-11 12:00:00,6.326885963578371
1532,White Donjek,4,35813.000000000000000,35813.000000000000000,tmin,StdTime,2005-07-11 12:00:00,5.111433558085915
1533,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,tmin,StdTime,2005-07-11 12:00:00,3.958239556478941
1534,Lower Mainstem,6,65074.000000000000000,65074.000000000000000,tmin,StdTime,2005-07-11 12:00:00,8.782254511058731
1535,Teslin,7,35505.000000000000000,35505.000000000000000,tmin,StdTime,2005-07-11 12:00:00,3.556915646499151
1536,Carmacks,8,14510.000000000000000,14510.000000000000000,tmin,StdTime,2005-07-11 12:00:00,6.314150239465911
1537,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,tmin,StdTime,2005-07-12 12:00:00,6.933912832505061
1538,Stewart,2,54143.000000000000000,54143.000000000000000,tmin,StdTime,2005-07-12 12:00:00,5.893030863348205
1539,Pelly,3,52273.000000000000000,52273.000000000000000,tmin,StdTime,2005-07-12 12:00:00,6.930229564688720
1540,White Donjek,4,35813.000000000000000,35813.000000000000000,tmin,StdTime,2005-07-12 12:00:00,5.953627733057251
