OID_,Site_1,ZONE_CODE,COUNT,AREA,Variable,Dimensions,StdTime,MEAN,Population
2624,EarnR,76,1662.000000000000000,1662.000000000000000,swe,StdTime,2011-04-01 12:00:00,144.463219060794586,Pelly
2625,MicaCr,77,1638.000000000000000,1638.000000000000000,swe,StdTime,2011-04-01 12:00:00,124.352155161427888,Pelly
2626,LittleSalmonR,78,3709.000000000000000,3709.000000000000000,swe,StdTime,2011-04-01 12:00:00,116.395667324235944,Carmacks
2627,BearfeedCr,79,414.000000000000000,414.000000000000000,swe,StdTime,2011-04-01 12:00:00,113.773695683133838,Carmacks
2628,AnvilCr,80,1017.000000000000000,1017.000000000000000,swe,StdTime,2011-04-01 12:00:00,159.421947010381501,Pelly
2629,KluaneR,81,8484.000000000000000,8484.000000000000000,swe,StdTime,2011-04-01 12:00:00,147.763058721316810,White Donjek
2630,NBigSalmonR,82,1679.000000000000000,1679.000000000000000,swe,StdTime,2011-04-01 12:00:00,120.535771145573619,Carmacks
2631,LapieR,83,1481.000000000000000,1481.000000000000000,swe,StdTime,2011-04-01 12:00:00,148.455638311103911,Pelly
2632,SBigSalmonR,84,1077.000000000000000,1077.000000000000000,swe,StdTime,2011-04-01 12:00:00,106.647595248846571,Carmacks
2633,McConnelR,85,1075.000000000000000,1075.000000000000000,swe,StdTime,2011-04-01 12:00:00,149.246679013274530,Teslin
2634,McNeilR,86,1086.000000000000000,1086.000000000000000,swe,StdTime,2011-04-01 12:00:00,166.115046021688158,Teslin
2635,MendenhallR,87,1192.000000000000000,1192.000000000000000,swe,StdTime,2011-04-01 12:00:00,119.240939517949329,Upper Lakes and Mainstem
2636,ScurvyCr,88,129.000000000000000,129.000000000000000,swe,StdTime,2011-04-01 12:00:00,125.030078030371854,Carmacks
2637,Hundred-MileCr,89,560.000000000000000,560.000000000000000,swe,StdTime,2011-04-01 12:00:00,132.099249976021952,Teslin
2638,MichieCr,90,793.000000000000000,793.000000000000000,swe,StdTime,2011-04-01 12:00:00,105.189356809907139,Upper Lakes and Mainstem
2639,FlatCr,91,124.000000000000000,124.000000000000000,swe,StdTime,2011-04-01 12:00:00,89.745161302628063,Upper Lakes and Mainstem
2640,WolfR,92,4034.000000000000000,4034.000000000000000,swe,StdTime,2011-04-01 12:00:00,186.832099545752726,Teslin
2641,Thirty-MileCr,93,107.000000000000000,107.000000000000000,swe,StdTime,2011-04-01 12:00:00,152.233645929354367,Teslin
2642,SmartR,94,717.000000000000000,717.000000000000000,swe,StdTime,2011-04-01 12:00:00,223.113473208545912,Teslin
2643,MacmillanR,95,14659.000000000000000,14659.000000000000000,swe,StdTime,2011-04-01 12:00:00,176.619829461115529,Pelly
2644,JenningsR,96,3743.000000000000000,3743.000000000000000,swe,StdTime,2011-04-01 12:00:00,299.200227114213078,Teslin
2645,OtterCr(Pel),97,1097.000000000000000,1097.000000000000000,swe,StdTime,2011-04-01 12:00:00,193.898176946092406,Pelly
2646,NislingR,98,11739.000000000000000,11739.000000000000000,swe,StdTime,2011-04-01 12:00:00,116.156677749130125,White Donjek
2647,CoalCr,1,1200.000000000000000,1200.000000000000000,swe,StdTime,2012-04-01 12:00:00,109.417791649500387,Lower Mainstem
2648,SelwynR,2,1059.000000000000000,1059.000000000000000,swe,StdTime,2012-04-01 12:00:00,150.406959303152604,Middle Mainstem
2649,KlottasinCr,3,2489.000000000000000,2489.000000000000000,swe,StdTime,2012-04-01 12:00:00,115.069686665885371,White Donjek
2650,TatchunCr,4,1167.000000000000000,1167.000000000000000,swe,StdTime,2012-04-01 12:00:00,107.496949523559536,Middle Mainstem
2651,TincupCr,5,530.000000000000000,530.000000000000000,swe,StdTime,2012-04-01 12:00:00,65.213641486977593,White Donjek
2652,M’ClintockR,6,1694.000000000000000,1694.000000000000000,swe,StdTime,2012-04-01 12:00:00,136.140808839584139,Upper Lakes and Mainstem
2653,NSwiftR,7,290.000000000000000,290.000000000000000,swe,StdTime,2012-04-01 12:00:00,120.929620466561190,Teslin
