"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"cov.eff[4,9,3]",0.0313488719663465,0.0115154970402288,0.00841616991161784,0.0243288081609354,0.0311957965352418,0.0382572890133738,0.0547103896562649,1.0012487881964,5700
"cov.eff[5,9,3]",0.0945469559939088,0.0293630632066141,0.0401377781562037,0.0747546026981597,0.0931790638122494,0.112423692035485,0.156810641615935,1.00176553688856,2300
"cov.eff[6,9,3]",0.0586119662647073,0.0210985029811941,0.0167048350245275,0.0457443211361456,0.0581508600399319,0.0713760186955444,0.101804818932824,1.00142762630851,3800
"cov.eff[7,9,3]",-0.267919345129751,0.107403993079804,-0.497780515857165,-0.327814254374313,-0.26387865914698,-0.203306836256328,-0.0612719982668458,1.00147381749753,3500
"cov.eff[8,9,3]",-0.0645301773061343,0.023464705748092,-0.111417425629493,-0.0792398860649398,-0.0645273162301986,-0.0498788239567753,-0.0167735357253032,1.00125819635722,5600
"cov.eff[1,10,3]",0.0353679254865846,0.0141815500317537,0.00457197868374871,0.0271568265946118,0.0359451297355934,0.0444377320407401,0.0619384482951677,1.00164681745732,2700
"cov.eff[2,10,3]",-0.0853252491024972,0.0572879688631602,-0.172403949681467,-0.122259777530951,-0.0947944546943016,-0.0594678966957701,0.0586288055622013,1.0019137139346,2000
"cov.eff[3,10,3]",0.0598187594604455,0.0300920666336636,-0.00976408973990543,0.044346686317638,0.062444911125748,0.0787040799431481,0.113292200850606,1.00105059596439,13000
"cov.eff[4,10,3]",-0.0545969059183608,0.0200552833028081,-0.0952831093899191,-0.0666285412501284,-0.0543303111611585,-0.0423708276232194,-0.0146575237970545,1.0012487881964,5700
"cov.eff[5,10,3]",-0.0715184435483166,0.0222111918492984,-0.118616753995835,-0.0850409977540807,-0.0704837246750777,-0.056546853114865,-0.0303615424848183,1.00176553688856,2300
"cov.eff[6,10,3]",-0.087980771810814,0.0316703686062133,-0.152816346466154,-0.107140531427596,-0.0872886182434129,-0.0686655121130652,-0.0250751573798544,1.00142762630851,3800
"cov.eff[7,10,3]",0.0301226972386785,0.0120756415114453,0.00688893089115002,0.0228581861908369,0.0296683949917218,0.0368567993112193,0.0559664393148499,1.00147381749753,3500
"cov.eff[8,10,3]",-0.0563428303016889,0.0204875918405098,-0.0972812003152024,-0.0691862263526999,-0.0563403322283432,-0.0435503857445198,-0.0146453723882801,1.00125819635722,5600
"cov.eff[1,11,3]",-0.116355822511223,0.0466554341462483,-0.203769347432796,-0.146194293021085,-0.118254748564318,-0.089342387254499,-0.0150412084659346,1.00164681745732,2700
"cov.eff[2,11,3]",-0.2591026259767,0.173963314791914,-0.523529864384721,-0.371259735457011,-0.287857256763685,-0.180582985192061,0.178034961969998,1.0019137139346,2000
"cov.eff[3,11,3]",0.0834618573592333,0.0419858217669008,-0.0136233026640013,0.0618745163086303,0.0871259837582122,0.109811516538524,0.158070437979565,1.00105059596439,13000
"cov.eff[4,11,3]",-0.24380394715524,0.0895574052832331,-0.425489279579751,-0.297531537304829,-0.242613461119383,-0.189208066739568,-0.0654535654930213,1.0012487881964,5700
"cov.eff[5,11,3]",-0.363596722122116,0.112920753726616,-0.603042527240041,-0.432344811985296,-0.358336255423433,-0.28748179376968,-0.154356789358724,1.00176553688856,2300
"cov.eff[6,11,3]",-0.257435411359247,0.0926688207233638,-0.447147009570745,-0.313497667883853,-0.255410141124851,-0.200918155105882,-0.0733709573366944,1.00142762630851,3800
"cov.eff[7,11,3]",0.0981038294562646,0.0393280411122237,0.0224359225180402,0.0744447146275465,0.0966242544433137,0.120035504300353,0.182271925196938,1.00147381749753,3500
"cov.eff[8,11,3]",-0.244495398644743,0.0889043363191871,-0.422144321191325,-0.30022833255364,-0.244484558446705,-0.188983564842668,-0.0635524722702102,1.00125819635722,5600
"cov.eff[1,12,3]",-0.134386515694964,0.0538852383819932,-0.235345786879626,-0.168848805582524,-0.136579702510459,-0.103187033256064,-0.0173720193278989,1.00164681745732,2700
"cov.eff[2,12,3]",-0.267298067600314,0.179465791602612,-0.540089165648497,-0.3830027175193,-0.296962210196123,-0.186294842830635,0.183666225382661,1.0019137139346,2000
"cov.eff[3,12,3]",0.011836154422173,0.00595422490822261,-0.00193199048251568,0.0087747427747028,0.0123557829956662,0.0155729348496123,0.0224167802239746,1.00105059596439,13000
"cov.eff[4,12,3]",-0.190486346226945,0.0699720538121818,-0.332438827064084,-0.232464224184177,-0.18955620814735,-0.147830064814066,-0.0511394941869123,1.0012487881964,5700
"cov.eff[5,12,3]",-0.28069282752268,0.08717362869644,-0.465542458962486,-0.333765626468316,-0.276631802816174,-0.221932907105257,-0.119161810369323,1.00176553688856,2300
"cov.eff[6,12,3]",-0.249453189176464,0.0897954665390082,-0.433282457060601,-0.303777140215881,-0.247490715885603,-0.194688346447693,-0.0710959661840292,1.00142762630851,3800
"cov.eff[7,12,3]",0.0951468130559379,0.0381426270136496,0.0217596656256232,0.0722008242178512,0.0937118349522316,0.116417429890772,0.176777939130199,1.00147381749753,3500
"cov.eff[8,12,3]",-0.249616378911913,0.0907664464221993,-0.430986175683072,-0.306516644624848,-0.249605311664856,-0.19294184426937,-0.0648835850773616,1.00125819635722,5600
"cov.eff[1,13,3]",-0.0508985647518847,0.0204089024912446,-0.0891366422488834,-0.0639510729166301,-0.0517292289041936,-0.0390818369430757,-0.0065796099114518,1.00164681745732,2700
"cov.eff[2,13,3]",-0.275384036225154,0.184894767476468,-0.556427271222007,-0.394588839278025,-0.305945541560865,-0.191930402666968,0.189222267553933,1.0019137139346,2000
"cov.eff[3,13,3]",-0.0691039061333397,0.0347629968720085,-0.130877565563635,-0.090920630948532,-0.0721376925208856,-0.0512302374081346,0.0112796846164971,1.00105059596439,13000
"cov.eff[4,13,3]",-0.0438048828342274,0.0160910095638094,-0.0764487542416321,-0.0534582572727042,-0.0435909851433778,-0.0339955004483172,-0.0117602106157804,1.0012487881964,5700
"cov.eff[5,13,3]",-0.0818412471475419,0.0254171029372561,-0.135737616731745,-0.0973156149597036,-0.0806571793905896,-0.0647086926334312,-0.0347438559761428,1.00176553688856,2300
