"","population","BroodYear","R_lwr","R_med","R_upr","S_lwr","S_med","S_upr"
"45","Stewart",1987,4.41664215117196,6.04855344087094,8.1158950077687,7.83687676065296,13.8215005519607,21.1140960203214
"46","Teslin",1987,14.681154905213,19.2747531272397,24.7169551690534,2.18773479236221,4.39262106471393,10.6256351239628
"47","Upper Lakes and Mainstem",1987,5.16658554745822,6.82083176248709,8.93707476801411,0.235805807494455,0.462042041229905,0.858558908842732
"48","White-Donjek",1987,7.91785676421524,10.4103229446166,13.8349454753532,2.15743696467431,4.83338854467341,14.0052476745197
"49","Carmacks",1988,37.613671753884,45.7874889445727,56.5019084487523,3.31283101328324,4.83950088313551,6.94158771342069
"50","Lower Mainstem",1988,31.9874864995942,38.9135803993171,49.263347469739,9.99483241735586,11.8938026556135,14.3864818472065
"51","Middle Mainstem",1988,31.1936925305488,38.2800803927589,48.8218210857391,6.2362354225523,9.88788766036365,14.7238615994888
"52","Pelly",1988,23.6086130050538,29.7617089512401,36.9461461792539,6.89753271234376,10.3495039525899,15.6493600893072
"53","Stewart",1988,14.5658290311401,18.3560189032701,23.3266046305725,2.76046627320799,4.02829799563979,5.86099204611066
"54","Teslin",1988,42.5141882153324,52.5989172662752,64.6965294748704,7.70711301836724,9.76165166090339,12.5029097899705
"55","Upper Lakes and Mainstem",1988,15.1625585042423,18.847929226839,23.8310887643503,1.04296647395909,2.18798450171873,4.9434576134756
"56","White-Donjek",1988,17.7614522367328,21.8255749856071,26.6061675971221,3.62530549964116,6.02030471805972,9.5561433889554
"57","Carmacks",1989,10.5077403019942,14.1184546122003,18.5323407539248,8.77573262790612,13.9946385638239,20.9065536073656
"58","Lower Mainstem",1989,4.94003153647697,6.7815441001788,9.57727706490216,4.12797063396533,5.66270966728354,7.4673753412053
"59","Middle Mainstem",1989,4.97287083147863,6.88722765925603,9.9363412714371,5.84107235934074,8.66259195701415,13.0810202601783
"60","Pelly",1989,9.56894442037989,12.3594276387051,15.8836439919674,6.07930731672562,7.95181459947807,11.0014404648983
"61","Stewart",1989,7.98068447527064,10.2948878840204,13.3102738733371,2.92657069014185,4.68862872142358,8.03161910687756
"62","Teslin",1989,11.2097637807046,14.5533458381992,19.0718226655826,5.42464454683118,7.17969294587337,9.62274283780885
"63","Upper Lakes and Mainstem",1989,2.61763162737098,3.5436616807228,5.01519715286982,2.67132694216796,5.3967381570677,11.2017489790992
"64","White-Donjek",1989,6.60029750503281,8.41064518587236,10.9128007028784,1.97453759644404,2.97273127643684,4.44890981661084
"65","Carmacks",1990,18.3541978859943,22.4552471850588,27.7426804906907,3.3328402054395,4.68865337386523,6.53809583022082
"66","Lower Mainstem",1990,13.8467952447342,17.320476348866,22.0044604751634,9.13772296911309,10.9758977019353,13.2548340352946
"67","Middle Mainstem",1990,9.80559965501433,12.584589391266,15.7831062271816,5.69554839511079,7.17788824000958,9.14349123060237
"68","Pelly",1990,18.3990180013404,22.7230526406332,27.9278202936784,4.52318947826183,6.34568617348024,8.61296676139553
"69","Stewart",1990,11.318441278637,14.3738943631219,17.8481924248663,2.10799411587259,3.30494222348248,5.17804763275964
"70","Teslin",1990,18.4266144526044,23.0694705348927,28.1874157237701,5.24802373228352,6.9364720231461,9.23573431828472
"71","Upper Lakes and Mainstem",1990,9.23453617497209,11.7418232494652,15.1342619555799,2.21787397610468,2.98494967551817,4.02820564315889
"72","White-Donjek",1990,12.5031557522761,15.4376644293304,19.315188176251,5.10369356235518,6.56950581480577,8.42260430988583
"73","Carmacks",1991,8.70355423248606,10.8337739911183,13.4615631472706,4.8809863088689,6.25902826201409,8.06067462868834
"74","Lower Mainstem",1991,9.7393450060924,12.0238176354934,15.2551094298209,12.0254830076846,14.4536640449223,17.3270889834268
"75","Middle Mainstem",1991,11.3630172601037,14.611667299892,18.853877176692,0.977191550884356,2.30401465855675,5.1903355599102
"76","Pelly",1991,9.57606604750131,12.0314887548767,15.0899940557455,4.43943366468164,5.91011537737587,7.79040484286899
"77","Stewart",1991,4.18261745319614,5.35141717485349,6.87575153933081,2.53660351666496,3.75165272212047,5.73923660697842
"78","Teslin",1991,12.3478757588505,15.4962901231127,19.3350494513753,6.74658624798446,8.39277662996279,10.5288386477535
"79","Upper Lakes and Mainstem",1991,7.16621040082857,9.08449512763834,11.2100003080667,3.688671538472,4.74072083834385,5.96651293919113
"80","White-Donjek",1991,7.01983299725633,8.83122177898877,11.0661217378466,4.45597278654453,6.08401372015233,8.28042194512347
"81","Carmacks",1992,6.66436765233804,8.3124529208317,10.3894310313808,5.96949205077092,8.06736851325532,10.8911361405144
"82","Lower Mainstem",1992,10.9219659524716,13.4143515393634,16.7985770537941,6.53832972889709,8.29607542124145,10.5060536692448
"83","Middle Mainstem",1992,28.5501189519372,36.3851109836244,45.8687817306966,11.2889631339068,13.7159422615684,16.6407174372392
