,year,Population,age_4,age_5,age_6,age_7,year_4,year_5,year_6,year_7,S_med,S_med_total,popn_prop,,,Population,year,Age_4,Age_5,Age_6,Age_7,,x,j,j,j
290,1994,White-Donjek,53.39957757,5339.957757,53.39957757,0,1990,1989,1988,1987,5.446756912,51.16960897,0.106445154,,,White-Donjek,1994,53.39957757,5339.957757,53.39957757,0,,0,0,0,0
11,1995,Aggregate,4260.308749,9763.751369,51144.91652,9093.823681,1991,1990,1989,1988,NA,NA,NA,,,Aggregate,1995,4260.308749,9763.751369,51144.91652,9093.823681,,0,0,0,0
46,1995,Carmacks,3203.9603,1423.982356,3203.9603,355.9955889,1991,1990,1989,1988,8.187898545,74.26280032,0.11025572,,,Carmacks,1995,3203.9603,1423.982356,3203.9603,355.9955889,,4.09273E-12,3.41061E-12,4.09273E-12,0
81,1995,Lower Mainstem,5807.49866,0,2581.110516,0,1991,1990,1989,1988,8.388609176,74.26280032,0.112958428,,,Lower Mainstem,1995,5807.49866,0,2581.110516,0,,0,0,4.54747E-12,0
116,1995,Middle Mainstem,7438.675832,7438.675832,7438.675832,0,1991,1990,1989,1988,22.3160275,74.26280032,0.300500754,,,Middle Mainstem,1995,7438.675832,7438.675832,7438.675832,0,,0,0,0,0
151,1995,Pelly,494.6266247,0,7914.025995,0,1991,1990,1989,1988,8.40865262,74.26280032,0.113228327,,,Pelly,1995,494.6266247,0,7914.025995,0,,0,0,0,0
186,1995,Stewart,807.5692075,807.5692075,4396.765685,0,1991,1990,1989,1988,6.0119041,74.26280032,0.080954449,,,Stewart,1995,807.5692075,807.5692075,4396.765685,0,,0,0,0,0
221,1995,Teslin,2825.996144,1255.998286,3846.494752,0,1991,1990,1989,1988,7.928489182,74.26280032,0.106762594,,,Teslin,1995,2825.996144,1255.998286,3846.494752,0,,0,4.77485E-12,-4.54747E-12,0
256,1995,Upper Lakes and Mainstem,1215.74904,1215.74904,4862.99616,0,1991,1990,1989,1988,7.29449424,74.26280032,0.098225413,,,Upper Lakes and Mainstem,1995,1215.74904,1215.74904,4862.99616,0,,-5.00222E-12,-5.00222E-12,0,0
291,1995,White-Donjek,2863.362479,0,2863.362479,0,1991,1990,1989,1988,5.726724959,74.26280032,0.077114315,,,White-Donjek,1995,2863.362479,0,2863.362479,0,,-5.00222E-12,0,-5.00222E-12,0
