"","population","BroodYear","R_lwr","R_med","R_upr","S_lwr","S_med","S_upr"
"109","Stewart",1998,7.21998337251066,9.19159878083782,11.9732913559432,5.68379057850025,7.76142476027272,10.4694946158684
"110","Teslin",1998,7.83468498675869,9.96707435829647,12.3596946228352,5.97721110903844,7.23997729454489,8.77314953614994
"111","Upper Lakes and Mainstem",1998,11.545252224617,14.3461458560649,18.0333637930253,0.688173512199274,1.0516447561098,1.59240404461423
"112","White-Donjek",1998,9.22139505677665,11.2408058320374,13.8941461074684,4.85581898988533,5.98057408014877,7.36556199173216
"113","Carmacks",1999,12.5893269855467,15.4229747321685,19.1929294916658,3.67648206471648,4.902224151998,6.49834075158278
"114","Lower Mainstem",1999,15.3134707080127,19.1745177932134,23.8803803095681,4.50001542176001,5.59010193098937,6.90903116350731
"115","Middle Mainstem",1999,18.5281256636594,22.410103960037,27.7562279573622,4.02756749446119,5.14077445842207,6.62539691586226
"116","Pelly",1999,11.6182237046025,14.3972195693203,17.9083349327413,3.82532104860321,5.03681027371339,6.65905055657529
"117","Stewart",1999,4.19635834538052,5.45510466676579,7.17191565331448,1.54867912276467,2.3499884731066,3.51528561399036
"118","Teslin",1999,8.9120124337691,11.1813206555065,14.4801416550692,2.73248622591334,3.80294947999323,5.29163818515417
"119","Upper Lakes and Mainstem",1999,7.73643904235469,9.63673670590451,11.9450853438834,3.07280120027168,3.92940504108217,4.99864384234138
"120","White-Donjek",1999,7.48793402829834,9.4323135414908,11.846339814969,2.29442168480754,3.28155358578871,4.74192462139031
"121","Carmacks",2000,17.3990563897501,21.115368261132,25.7764043584003,4.59220448496274,5.87045701528096,7.48544578854563
"122","Lower Mainstem",2000,16.0277163277279,19.4170631462051,24.0586078176122,5.60232532410599,6.71702596781385,8.02628132146021
"123","Middle Mainstem",2000,12.2006560640785,15.0918654223672,18.7788141363622,8.50542320778073,9.98976374568516,11.7383964656468
"124","Pelly",2000,13.6391475887502,16.7183335125387,20.7398942858719,4.57277859458122,5.8266131557113,7.39037250759962
"125","Stewart",2000,2.80498016868055,3.61715028220864,4.57080593616696,1.24441208704787,1.9658113377506,3.06133244252242
"126","Teslin",2000,7.57171561026682,9.5436099553141,12.0801241926789,2.55680153129235,3.59141526712189,4.95722150221734
"127","Upper Lakes and Mainstem",2000,4.68177834980264,5.89907184964051,7.34091566858886,3.10268951103929,3.82972988701606,4.74033703610645
"128","White-Donjek",2000,6.19783473969826,7.97028041589629,10.1213816081576,3.38601023569092,4.47717427438004,5.9338101823133
"129","Carmacks",2001,19.5744415236775,23.8041616216808,28.9241212085187,2.66785483194258,4.18701934805666,6.3027357725
"130","Lower Mainstem",2001,16.1791342653929,19.8768346903131,24.4527600551987,5.19536166474132,7.21969102946915,9.83057793862049
"131","Middle Mainstem",2001,8.96702336265488,11.0186802695888,13.4112715876274,23.7915152954203,30.3739325460896,39.4539262995658
"132","Pelly",2001,19.4439759291727,23.5399899964476,28.7317513881201,5.46417878302706,7.50071717779299,10.2116608210151
"133","Stewart",2001,3.94588531565966,4.88395547072586,5.98360629943821,2.21978980451391,3.27249395663981,4.85357668839426
"134","Teslin",2001,12.1978203515654,15.8940375945958,20.293751333056,11.235073692406,14.8679806963312,19.6816337867741
"135","Upper Lakes and Mainstem",2001,3.68025712529215,4.76488616955083,6.75306809635486,8.51346899050919,12.1989357639545,17.585906038084
"136","White-Donjek",2001,8.96163305522485,11.1714558554556,13.9725077749228,3.36116415383705,4.78282012921109,6.66482688217824
"137","Carmacks",2002,8.05767155539981,10.9345289681254,15.9628739928771,3.80002940593185,5.23958588211732,7.331754628273
"138","Lower Mainstem",2002,7.01432361115292,9.25478315727847,11.8266284869133,6.74063918064967,8.31924809961824,10.2246476118074
"139","Middle Mainstem",2002,7.42423308270978,9.09752309883267,11.1787483223601,21.667128386803,24.7816650914419,28.4757890334515
"140","Pelly",2002,9.44802701177862,11.9249589855086,15.0450018172921,4.09277593780933,5.36099904051435,6.96427343860997
"141","Stewart",2002,2.96215979037766,3.90025065725307,5.16440167116652,1.83629865111514,2.66636110528176,3.84311150456854
"142","Teslin",2002,9.93964584672324,13.9293693527007,18.9647581262428,1.60317611414038,2.98560582777658,5.30223601374784
"143","Upper Lakes and Mainstem",2002,2.90190627256252,5.23749073691006,7.40339785718745,2.60371543840335,3.37421719662575,4.38431685763712
"144","White-Donjek",2002,5.15808887907006,6.57324175586942,8.4348732225758,1.58161435471469,2.53964497974912,4.03398811774645
"145","Carmacks",2003,14.696236261822,17.8055352274405,22.7910607307673,5.67494283320946,7.25678722898711,9.32329240901892
"146","Lower Mainstem",2003,10.9210939047984,13.5324071322192,16.6184224769425,13.0044875236387,15.2471365969631,17.8215374168138
"147","Middle Mainstem",2003,9.1225467467823,10.7667140397772,12.7984159825609,9.17178310421373,10.9968482820625,13.3113083203395
"148","Pelly",2003,15.1139982579343,17.6332571499273,20.4661826920982,10.1261488110748,12.3745367110725,15.0933387271046
"149","Stewart",2003,5.9031336309693,7.09875333047556,8.6145569170789,2.15665479706926,3.24791667548498,4.75866675433818
"150","Teslin",2003,12.6583989491037,17.2310969716359,22.9373817095578,2.69509929604098,4.02456892308932,5.9156230929847
"151","Upper Lakes and Mainstem",2003,1.62634496598203,3.10370666762867,5.76786195265694,4.10576582172787,5.02639395852913,6.13424994261269
"152","White-Donjek",2003,6.45127833580709,8.49904777832324,11.440803768348,6.40475304446636,7.86950969742932,9.73427954367468
"153","Carmacks",2004,9.1408135712698,11.2908403254979,13.8686079116402,4.21900154918829,5.58378723331243,7.33431544041805
"154","Lower Mainstem",2004,3.67306737683969,5.30564969197867,7.53328810378682,9.59017179438619,11.4193957177083,13.6129895345929
"155","Middle Mainstem",2004,7.8329454701712,9.4385291791848,11.3769924914683,12.013492230439,14.1122957737602,16.6244731761264
"156","Pelly",2004,8.38638112840871,10.1668631847814,12.3442822748291,6.88282779881056,8.78287065078118,11.1569265945885
"157","Stewart",2004,3.29820447500488,4.15319351528573,5.25635729568312,2.74963649760273,3.88447906728285,5.64232758365457
"158","Teslin",2004,9.50332071745501,12.2457103463928,15.4516004150366,2.70851549945784,3.91539492639275,5.77744615766292
"159","Upper Lakes and Mainstem",2004,2.65569005436807,3.72848228833821,5.68617006045196,5.51914897532469,6.74440469772949,8.17267106356796
"160","White-Donjek",2004,3.15000172542335,4.70813812487295,6.78143776116959,2.09036415782482,3.21837512035857,4.88720671756697
"161","Carmacks",2005,14.8338836014382,17.8985362658893,21.3390790447971,9.13094350667811,10.9671901118047,13.126062112152
