"year","Population","water_temp","prop_4","prop_5","prop_6","prop_7","Mig_temp_returns"
2009,"Stewart",12.5,0,0.59289004967915,0.40710995032085,0,10.9082133348531
2010,"Stewart",12.75,0.0978950891741348,0.500673048470885,0.40143186235498,0,12.6557821265985
2011,"Stewart",12.1176,0.1149297106305,0.546610249975907,0.338460039393593,0,12.4433832838029
2012,"Stewart",14.66775,0.135728269403232,0.365585697323441,0.489664771320307,0.0090212619530201,12.6871214242134
1985,"Teslin",14.375,0.0775103006873442,0.405309211024649,0.517180488288007,0,14.64647561036
1986,"Teslin",13,0.0573770180441054,0.408946396332442,0.495607218973947,0.0380693666495051,14.6255674584967
1987,"Teslin",13,0.0216600571258041,0.613595914923125,0.342781831612206,0.0219621963388648,14.1178388983908
1988,"Teslin",16,0.115312322642625,0.566883383956478,0.317804293400897,0,14.2208017427425
1989,"Teslin",14,0.222821067700584,0.244735763617923,0.459733119555601,0.0727100491258918,14.1839196776234
1990,"Teslin",14,0.175250353711817,0.376235008831909,0.416529620006315,0.0319850174499588,12.9879146852418
1991,"Teslin",15.25,0.210837955866628,0.42793412366411,0.299312425253026,0.0619154952162358,13.0791587677303
1992,"Teslin",14.25,0,0.173158844075073,0.826841155924928,0,15.9012568599582
1993,"Teslin",13.75,0.0343328470850841,0.559238482105142,0.353561889700286,0.0528667811094874,16.2566384543498
1994,"Teslin",15.05,0.0771166268883999,0.261042907121315,0.260218435077868,0.401622030912418,14.8930139972688
1995,"Teslin",14.5,0.0538521285812995,0.120784597388859,0.809135341545246,0.0162279324845961,13.8591483157977
1996,"Teslin",10.6,0.137185902405299,0.680913042426805,0.132706933556425,0.0491941216114717,13.9423354804021
1997,"Teslin",15,0.121081323767722,0.346493965195504,0.456691298976412,0.0757334120603611,14.4731810166068
1998,"Teslin",16.09,0.307063467999518,0.520354940391388,0.172581591609094,0,14.6225432835026
1999,"Teslin",16.875,0.0826223759489278,0.274026439718275,0.643351184332797,0,16.0370525974713
2000,"Teslin",14.7,0.193780214954342,0.324965334198145,0.481254450847513,0,15.628395340305
2001,"Teslin",13.5,0.447528300422788,0.331381478992317,0,0.221090220584895,15.836808225624
2002,"Teslin",15.5,0,0.665236802341221,0.334763197658779,0,14.9184539970735
2003,"Teslin",13.75,0,0.318979437315734,0.661619498050813,0.0194010646334523,15.7330240684457
2004,"Teslin",15.6921666666667,0,0.612553679400018,0.220631004505016,0.166815316094966,15.3781844079478
2005,"Teslin",16.4776666666667,0.167018084865217,0.170096418750307,0.634377164862765,0.0285083315217103,14.9179587128463
2006,"Teslin",15.02925,0.0554300289489637,0.396598049471045,0.48736016110799,0.060611760472001,15.1640766962996
2007,"Teslin",14.5,0.0339810383460273,0.158815998175183,0.790679114251706,0.0165238492270834,14.9240298103813
2008,"Teslin",15.75,0.0453490728034045,0.487385707841322,0.448238335721707,0.0190268836335669,13.6662804089847
2009,"Teslin",15.75,0.0774887612219911,0.443792012634614,0.473118949829817,0.00560027631357795,14.203938836759
2010,"Teslin",14.875,0.0944091718167197,0.404506405802737,0.47289670425091,0.0281877181296338,14.8226535445235
2011,"Teslin",14.678375,0.0670455125866335,0.404175812018388,0.516257665826941,0.0125210095680372,15.504457849881
2012,"Teslin",15.631,0.0777169157804091,0.558711762194233,0.356953083571171,0.0066182384541872,15.4167161307412
1985,"Upper Lakes and Mainstem",16.5,0.00494561406436603,0.0241391646412126,0.970915221294421,0,17.6711060356556
1986,"Upper Lakes and Mainstem",18.3333333333333,0.00671080752031874,0.993289192479681,0,0,17.7332229811992
1987,"Upper Lakes and Mainstem",15.75,1,0,0,0,17.75
1988,"Upper Lakes and Mainstem",18,0.823087200307479,0,0.176912799692521,0,18.3766037219525
1989,"Upper Lakes and Mainstem",14,0.395237042159652,0.126937117659895,0.477825840180452,0,15.0518618364375
1990,"Upper Lakes and Mainstem",15.25,0.204511956677172,0.192459659018027,0.581201795881795,0.0218265884230059,15.9262698381398
1991,"Upper Lakes and Mainstem",17.75,0.256005999068851,0,0.727237238026569,0.0167567629045794,16.0120867717108
1992,"Upper Lakes and Mainstem",19.5,0,0.652790998578402,0.347209001421598,0,15.1286875780113
1993,"Upper Lakes and Mainstem",15,0.198841759568548,0.360773174405323,0.440385066026129,0,15.5678601565808
1994,"Upper Lakes and Mainstem",13.15,0.00899708604017568,0.392016577317462,0.334313436592701,0.264672900049662,16.2011306535152
1995,"Upper Lakes and Mainstem",15.6,0.107536890155036,0.18341585190768,0.709047257937284,0,15.080785654623
1996,"Upper Lakes and Mainstem",17,0,0.643629118217283,0.356370881782717,0,13.9010807655042
1997,"Upper Lakes and Mainstem",16.225,1,0,0,0,14.4
1998,"Upper Lakes and Mainstem",13.0675,0.176951347729087,0.351460159515209,0.471588492755704,0,17.6454266243352
1999,"Upper Lakes and Mainstem",17.3195,0.369802213009764,0,0.624862787245224,0.00533499974501211,18.070228793917
2000,"Upper Lakes and Mainstem",16.4,0.370997677670225,0.467196143780966,0.160727522029339,0.00107865651947048,18.2541700016366
2001,"Upper Lakes and Mainstem",14.4,0,0.628955735059343,0.371044264940657,0,17.0438399484621
2002,"Upper Lakes and Mainstem",13,0.173428921625089,0.826571078374911,0,0,17.5552826782454
2003,"Upper Lakes and Mainstem",18,0.0168311779275293,0.874942366299911,0.10822645577256,0,15.7531817218671
2004,"Upper Lakes and Mainstem",19.12425,0,0.422572634856359,0.577427365143641,0,17.8263347406657
2005,"Upper Lakes and Mainstem",18.1241111111111,0.0233795427174068,0.21298094321665,0.674645932338891,0.0889935817270519,14.7966058088002
2006,"Upper Lakes and Mainstem",16.62725,0,0.392551109504089,0.443023950275732,0.164424940220179,15.4389033455211
2007,"Upper Lakes and Mainstem",17.75,0.220959853587678,0.213745795216033,0.462758987030842,0.102535364165448,15.7064166166149
2008,"Upper Lakes and Mainstem",15.375,0.0432895204545582,0.149954684803327,0.664521213824019,0.142234580918096,16.2952585414438
2009,"Upper Lakes and Mainstem",18.5,0,0.553970719977053,0.434765012715927,0.0112642673070198,16.619646035098
2010,"Upper Lakes and Mainstem",17.3333333333333,0.307547210804271,0.427879515892831,0.243889181088456,0.0206840922144424,17.157652611616
2011,"Upper Lakes and Mainstem",13.6007777777778,0.0699748832825628,0.458681328854946,0.43974458877409,0.0315991990884017,18.6784321408737
2012,"Upper Lakes and Mainstem",16.818125,0.136132422160156,0.400237322748254,0.449379428386462,0.0142508267051286,18.2017573330873
1985,"White-Donjek",14.375,0.163051106246276,0.836948893753724,0,0,13.5579659291692
1986,"White-Donjek",13.5,0.0327642412425778,0.726264450574143,0.185505081529236,0.0554662266540434,15.1125771759631
1987,"White-Donjek",12.3333333333333,0,1,0,0,14.3333333333333
1988,"White-Donjek",12,0.156136766700279,0.746961079079486,0.096902154220236,0,13.8206882088834
1989,"White-Donjek",13,0.235264932001635,0.406940949218817,0.256714841071797,0.101079277707752,14.1016927096438
1990,"White-Donjek",13.6666666666667,0.26548486876742,0,0.659432748792377,0.0750823824402031,11.5184502889208
1991,"White-Donjek",15.5,0.231015160866426,0.454801239819786,0.2594173318697,0.054766267444088,12.1121836553568
1992,"White-Donjek",14.3333333333333,0.281007294337903,0.122418607761949,0.596574097900148,0,11.569191192008
1993,"White-Donjek",13.5,0.0285331619366558,0.47432572581388,0.446388725557429,0.0507523866920355,14.0494152225448
1994,"White-Donjek",15.4666666666667,0.0865317756972954,0.242234011405653,0.495736480858628,0.175497732038424,13.8036556533135
1995,"White-Donjek",14.275,0,0.402951680041551,0.597048319958449,0,12.277526784106
1996,"White-Donjek",9.56666666666667,0.319015920333795,0.680984079666205,0,0,12.0634905968512
1997,"White-Donjek",14.7,0.0179501766580301,0.498043357687695,0.420891724656095,0.0631147409981794,12.9667436539063
1998,"White-Donjek",11.87,0,0.946760749774556,0.0532392502254443,0,11.4377814904514
1999,"White-Donjek",16.352,0,0.316026433488561,0.675741281489474,0.00823228502196521,15.2160250760845
2000,"White-Donjek",13.8,0.107119567150254,0.381746092036584,0.187394053505087,0.323740287308074,15.4007935511277
2001,"White-Donjek",11.25,0,0.965651121656826,0,0.0343488783431743,15.050042576904
2002,"White-Donjek",14.25,0.0525225786807103,0.826148503809925,0.121328917509364,0,15.4282096745926
2003,"White-Donjek",11.25,0,0.248710948218828,0.751289051781172,0,12.6237109482188
2004,"White-Donjek",14.777125,0,0.539766455811886,0.460233544188114,0,12.375
2005,"White-Donjek",15.4225833333333,0.0367995825068038,0.627545566227492,0.335654851265704,0,13.1481389930341
2006,"White-Donjek",15.109625,0,0.540895579631566,0.459104420368434,0,15.1157293484535
2007,"White-Donjek",15.75,0.0841287465062681,0.326433259737237,0.362539928575871,0.226898065180623,14.4449810916948
2008,"White-Donjek",13.375,0,0.347515404447175,0.652484595552825,0,12.5710165989695
2009,"White-Donjek",12.375,0,0.519398484445095,0.480601515554905,0,12.0289794730579
2010,"White-Donjek",12.375,0.0687153172773644,0.591975565181176,0.339309117541459,0,13.7440058035815
2011,"White-Donjek",14.678375,0.0742273127373203,0.592600566530183,0.333172120732497,0,15.534125510346
2012,"White-Donjek",15.631,0.0613217903324935,0.672289035277898,0.259397624820305,0.00699154956930373,15.670728498356
