"Population","Year","rearing_temp","rearing_prcp","WeeklyMigtemp_t0","Breakup_day","Snowpack_mean","spawning_temp","total_spawning_prcp","Winter_SST","Summer_SST","discharge","Pdischarge","Pink_total","Chum_total","Wintering_temp","winter_length","max_spawning_prcp","rearing_prcp_max","GDD5"
"Pelly",1992,10.79581315727,208.904759961764,18.4,121,190.174171722857,4.19692378413766,189.03939327405,1.78321462490336,6.80317260908044,7630,610205.882352941,231.3,146.2317973,-13.9081631390563,220.5,93.1017493894796,79.5792574061727,1281.62753753388
"Pelly",1993,12.7167467951333,106.881349579489,16.25,120,146.147717006989,6.19260488719866,171.87400212569,2.58591671579678,7.25695291910194,4930,619647.058823529,197.7,161.8954254,-14.2812994800898,220.884615384615,69.3465679335192,41.3826387504788,1328.04459103682
"Pelly",1994,10.7034950835367,261.068640059684,15.22,128,110.768315817462,7.46939776018876,144.262095665821,1.97904382333399,7.29039773884891,4620,538411.764705882,150.5,132.9529677,-14.7344100939383,213.076923076923,65.8192099338575,105.676846647498,1375.93473069759
"Pelly",1995,9.99751471477333,251.175403178266,17.9434306,124,117.623088855592,6.17932028973171,155.845994851462,2.23673972654265,7.79047169777507,3910,391382.352941176,177.3,134.4686715,-18.1129822785051,227.653846153846,94.7583541938743,110.526748638399,1074.12140718428
"Pelly",1996,11.8145266011,232.707529785082,15.6780934666667,124,166.657485311817,5.36184343979736,240.509630628902,2.00529352522485,7.16021915737557,4020,385029.411764706,267.9,115.1650486,-16.5207135176651,223.576923076923,113.871187057448,115.860452017678,1321.39953241067
"Pelly",1997,11.01472684401,116.578908579987,17.30271456,128,113.615137414096,6.87329371139667,123.173195861828,0.970644898082402,5.42421545448222,4810,459103.675653646,141.7,113.9506684,-11.7597484688251,218.923076923077,50.0789458425235,45.5411512282782,1276.41676713311
"Pelly",1998,10.9741958761333,212.67002120877,16.30201,126,49.7409065427413,5.68277459066524,116.318820946924,3.27961344833834,6.85224456271687,3080,470233.612239391,223.4,133.7195502,-14.9556450825161,228.115384615385,52.5646839039064,103.683213804576,1101.04335772065
"Pelly",1999,9.85280573784333,284.452965668121,16.8894485483333,128,131.157228608345,6.70859459520033,135.903413355497,2.1139667378329,6.12173854095349,3970,448526.26824784,177.9,120.6152433,-11.9263922390025,228.730769230769,53.9167762971375,152.150264860837,937.86859750888
"Pelly",2000,10.8431850765467,149.835767661102,16.7525215,132,95.0120644334212,4.68722044306718,295.952438247244,3.58086559724616,7.57510038648827,6150,459103.675653646,242.4,135.5352607,-11.4833427714758,226.307692307692,151.206449124466,75.816354793365,1087.9903463214
"Pelly",2001,9.7727105549,224.792848894553,14.6117833333333,127,110.764967259904,6.841331080617,127.381662560248,2.93157277266349,8.18849586850203,6390,710058.823529412,182.8,143.1787787,-15.3361898656899,223.115384615385,62.231235016258,104.301297225424,1079.2487333694
"Pelly",2002,10.4056557265867,144.75279739572,15.4669136666667,125,81.9330585779885,5.3357521127128,182.81036675388,3.11763718185655,9.17784988246678,3930,384529.411764706,290.1,131.3057068,-11.2372488430029,228.692307692308,109.433900385411,54.4575963318978,1148.62435164243
"Pelly",2003,12.7029534788,130.377743085751,17.3666,119,160.776642119596,5.19857364234772,112.447624490307,2.01096694951626,8.01807427406311,4450,429181.818181818,118.1,143.5614929,-14.4020644365059,218.307692307692,50.1930386258273,51.063084339664,1288.15635773532
"Pelly",2004,10.5134830280667,212.564066530893,18.0902,131,179.245145406779,5.48871531578474,139.083436750004,1.83269147326138,7.03418687821011,4080,502735.294117647,228.4,130.8848695,-12.5658756523494,215.961538461538,53.3629585864249,101.700978534052,1257.34900709809
"Pelly",2005,10.6494262331533,156.077683409458,17.30125,124,116.454544242531,6.09315330727212,131.646647608042,0.930934010536917,8.30068897617899,4900,493676.470588235,123.4,118.1742491,-12.4231455650085,219.961538461538,63.6233875959685,61.9465480148324,1159.17536584208
"Pelly",2006,11.3223911785333,194.989081229504,16.279,125,124.754391538744,6.1377287884893,142.227442356202,1.10648982250412,6.84815793804788,4780,489470.588235294,189.7,145.4959184,-16.4246882089685,224.346153846154,63.7991569713254,93.5026497065705,1225.06684087858
"Pelly",2007,9.22858070074667,326.623793997916,16.8333333333333,123,237.98782296039,6.42697360943836,173.106457109979,1.36249980852583,6.96823974781566,5470,390088.235294118,155.8,131.8277851,-14.5861537760379,221.653846153846,67.2951306399583,150.258598916107,1040.37089710202
"Pelly",2008,11.1600678735667,174.299658376083,16.0833333333333,120,116.816716792703,5.25278467009653,254.187888371252,1.75392825236782,6.87396429834554,5670,419529.411764706,214,123.904235,-16.5289529372957,223.807692307692,151.092546855588,93.8452498394414,1232.55439153437
"Pelly",2009,11.1492037378333,165.349818298527,17.3847132285714,127,138.764493011438,6.90866883289939,175.563870698905,0.625193314172933,6.27358668538683,3990,527878.787878788,116.2,136.2527179,-11.1745746361613,220.423076923077,95.8750436281847,61.0219441870811,1275.96959506657
"Pelly",2010,10.2370401198933,293.454356532473,16.4144866,122,135.087890817697,6.54921162465414,131.35133506098,1.33095818533437,6.37799126474897,5070,342352.941176471,367.4,146.6062529,-15.2064248074954,224.461538461538,64.18034760913,106.38752115669,1167.11326829537
"Pelly",2011,10.5745917457667,217.62560599674,14.7408333333333,135,168.709981584221,5.79125804866125,177.84106625951,2.53006240339,7.32964364946752,6430,467757.575757576,158.2,144.186359,-12.5967158202847,225.884615384615,86.728399921481,78.0380845072625,1170.06525738608
"Pelly",2012,12.2096197010333,219.86646346905,16.3828,122,186.612914079726,6.27752813921826,133.212645283189,3.78524192873254,8.20223649530019,6650,522176.470588235,299.2,157.2126108,-16.5167362982,223.115384615385,68.4254057507848,96.9390793018893,1338.91807066571
"Stewart",1985,10.5151026378133,170.490225566155,17,129,199.457639698383,6.68570501630292,182.520201510527,2.64281576477556,6.28753724939006,6330,541382.352941177,112.4,111.9554261,-14.8941144301807,225.785714285714,67.1953866133209,74.6083809854869,1087.91351954603
"Stewart",1986,10.3002560796267,166.55615635125,15.8333333333333,122,165.386303014479,7.06292880967651,123.726621102705,2.01999420537931,7.01144032482652,6160,488151.515151515,179.6,99.0824594,-13.4636781736889,222.357142857143,71.5896566219033,59.4584086689603,1080.19500190353
"Stewart",1987,11.027555515,223.188067396323,15,119,165.148224416173,7.45299675278685,179.792477037437,2.01936972686697,6.68938278496841,5230,473264.705882353,159.2,113.6078584,-11.8286510938079,205.5,70.7260647606315,126.258129263956,1183.80417963905
"Stewart",1988,12.6104378389,106.14888425979,16.5,120,192.716193245337,7.31570833990259,155.018972974238,2.03775415899097,7.4749868184616,6730,476969.696969697,218.8,105.296214,-16.7874651497696,213.071428571429,74.7628275285374,44.9706141073773,1414.09899586918
